tornado
	2015-04-21 00:23:32RT @dollyganja: thunder storms are so soothing
	2015-04-21 00:23:31RT @Ati_From_Blake: Thunder buddies assemble
	2015-04-21 00:23:30@ezraklein and you're not sitting in there with him? have you tried a thunder vest?
	2015-04-21 00:23:27RT @ezraklein: Calvin does not like the thunder https://t.co/Hc5cjQ32a2
	2015-04-21 00:23:26He sets up a Sandbag and attacks it. "I wonder if I can use the Thunder's Call..." #OpenRP
	2015-04-21 00:23:26en vivo copa america chicos hoy estan jugando byrada demonizer thunder y vicius representando a venezuela apoyenlos http://t.co/ilpKt8rSNb
	2015-04-21 00:23:26Ran in the bed with Marcco and Lynsay cuz all the thunder and lighting was scaring me. Lol
	2015-04-21 00:23:16RT @dollyganja: thunder storms are so soothing
	2015-04-21 00:23:15Yo girl just trynna get chipotle so this thunder needs to chill
	2015-04-21 00:23:14RT @SuchABabeDallas: @MoisesitoReyes I was outside then I heard thunder and I ran my ass back to my house
	2015-04-21 00:23:14RT @milesymiles_: I love thunder and lightning.
	2015-04-21 00:23:13I hate thunder
	2015-04-21 00:23:12@CharlieStuvel just sing the thunder buddy song http://t.co/YlnpPci7cs
	2015-04-21 00:23:12Thunder storm
	2015-04-21 00:23:07If you ride like lightning, you're going to crash like thunder.
	2015-04-21 00:23:06rlly dnt like thunder..
	2015-04-21 00:22:56Normally, not afraid of thunder....but it literally just shook the house.
	2015-04-21 00:22:54@MoisesitoReyes I was outside then I heard thunder and I ran my ass back to my house
	2015-04-21 00:22:53@ggrraccee Awesome! Yeah I paddle with UBC Thunder atm :)) Interested? :D
lightening
	2015-04-21 00:23:50Biggest lightening bolt I've ever seen on Capitol Hill @capitalweather! I ran away from my window....
	2015-04-21 00:23:42Look everyone another bad lightening photo. #yourwelcome. http://t.co/XnRQ5PXEJx
	2015-04-21 00:23:22This fucking lightening is oc
	2015-04-21 00:22:45@lansing And some epic lightening.
	2015-04-21 00:22:41@abc27News Starting to hear thunder and see some lightening in Lewsitown. Thanks for the updates!!
	2015-04-21 00:22:35I see lightening...
	2015-04-21 00:22:23Guess who was dumb enough to stand at the window &amp; record lightening...
	2015-04-21 00:22:22I see lightening. Charge all your devices
	2015-04-21 00:22:10I might be the only one here at the lab. Backing up what I'm working on after every loud sound of thunder and every flash of lightening.
