	2015-04-21 00:35:340@shullieq /hates thunder and lightening /I can do rain but not those two
	2015-04-21 00:35:322RT @LikeAbbasi: Storms are hella romantic, let's go outside and get struck by lightening baby
	2015-04-21 00:35:290Thunder and lightening storms make me so happyyy
	2015-04-21 00:35:250#ABCnews the lightening is crazy
	2015-04-21 00:35:153Cool timelapse of severe thunderstorm rolling into Dupont. Lightening show, then rain. @hbwx @TenaciousTopper @wusa9 http://t.co/L6yKWx1EUW
	2015-04-21 00:35:030Heat lightening in the distance! Sweet.
	2015-04-21 00:38:440Asteroid Seukuran Bus Terdekat Lintasi Bumi http://t.co/gJACYc9X9h #teamfollowback
	2015-04-21 00:38:100@CharlyRmzz La de los tatuajes feos?
	2015-04-21 00:38:060Manabu Uchiyama -Asteroid- on #iHeartRADIO http://t.co/szq6i8VvAB #music #listen #Japan #information
	2015-04-21 00:37:0442RT @earthskyscience: Asteroid will miss Earth Tuesday morning ... but not by much.
http://t.co/1QzlfPOFVM http://t.co/zJBSqG1Qhs
	2015-04-21 00:37:030Asteroid stress balls? Sounds, painful. https://t.co/syIXV7yqcT
	2015-04-21 00:36:590Asteroid Seukuran Bus Terdekat Lintasi Bumi: Asteroid 2015 HD1 pertama kali ditemukan 18 April 2015. http://t.co/tBSGmoXkYd
	2015-04-21 00:36:580Asteroid Seukuran Bus Terdekat Lintasi Bumi: Asteroid 2015 HD1 pertama kali ditemukan 18 April 2015. http://t.co/XWWEUExdrF
	2015-04-21 00:36:031RT @OldYorkmatt: @derrickgott007 the world needs a good asteroid or virus to put an end to shit like that.
	2015-04-21 00:36:016RT @StarTalkRadio: Asteroid 2015 HD1 will miss Earth Tuesday morning: http://t.co/eHiiey04Ac http://t.co/tMzn1UDBqM
	2015-04-21 00:35:5942RT @earthskyscience: Asteroid will miss Earth Tuesday morning ... but not by much.
http://t.co/1QzlfPOFVM http://t.co/zJBSqG1Qhs
	2015-04-21 00:35:301@derrickgott007 the world needs a good asteroid or virus to put an end to shit like that.
	2015-04-21 00:35:056RT @StarTalkRadio: Asteroid 2015 HD1 will miss Earth Tuesday morning: http://t.co/eHiiey04Ac http://t.co/tMzn1UDBqM
	2015-04-21 00:34:1213RT @ActorTrivia: Tom Hanks has an asteroid named after him.
	2015-04-21 00:33:590La pesada como yunque ya me tiene HARTO @Lord_Asteroid
	2015-04-21 00:33:476RT @StarTalkRadio: Asteroid 2015 HD1 will miss Earth Tuesday morning: http://t.co/eHiiey04Ac http://t.co/tMzn1UDBqM
	2015-04-21 00:33:0142RT @earthskyscience: Asteroid will miss Earth Tuesday morning ... but not by much.
http://t.co/1QzlfPOFVM http://t.co/zJBSqG1Qhs
	2015-04-21 00:32:486RT @StarTalkRadio: Asteroid 2015 HD1 will miss Earth Tuesday morning: http://t.co/eHiiey04Ac http://t.co/tMzn1UDBqM
	2015-04-21 00:32:216RT @StarTalkRadio: Asteroid 2015 HD1 will miss Earth Tuesday morning: http://t.co/eHiiey04Ac http://t.co/tMzn1UDBqM
	2015-04-21 00:31:436RT @StarTalkRadio: Asteroid 2015 HD1 will miss Earth Tuesday morning: http://t.co/eHiiey04Ac http://t.co/tMzn1UDBqM
	2015-04-21 00:31:050Asteroid hyalosis is an anomaly of the vitreous humour, whereby calcium clumps attach themselves to the collagen network. #Floaters
	2015-04-21 00:30:5342RT @earthskyscience: Asteroid will miss Earth Tuesday morning ... but not by much.
http://t.co/1QzlfPOFVM http://t.co/zJBSqG1Qhs
	2015-04-21 00:29:400NEW ASTEROID/CLOSE APPROACH IN 16 HOURS. https://t.co/32yficTwTX via @YouTube
	2015-04-21 00:29:331Messaging someone on an online dating site is like blowing up the asteroid at the end of Armageddon. Pretty much just got the one shot.
	2015-04-21 00:29:056Asteroid 2015 HD1 will miss Earth Tuesday morning: http://t.co/eHiiey04Ac http://t.co/tMzn1UDBqM
	2015-04-21 00:26:400I liked a @YouTube video http://t.co/R3P9bE8mxL NEW ASTEROID/CLOSE APPROACH IN 16 HOURS.
	2015-04-21 00:26:101RT @patronsaintofca: @Scotseye @MrMalky Yet another dinosaur in desperate need of an asteroid http://t.co/aeJKabpXr5
	2015-04-21 00:25:301@Scotseye @MrMalky Yet another dinosaur in desperate need of an asteroid http://t.co/aeJKabpXr5
	2015-04-21 00:25:0513RT @THEREALEMODAD: damn are you an asteroid cause you look like you would crash into me and ruin my life
	2015-04-21 00:24:170@voxdotcom Fucking disgusting, please bring the asteroid now.
	2015-04-21 00:24:030Asteroid will miss Earth Tuesday morning #AstronomiaCR http://t.co/e8r3jyhepV
	2015-04-21 00:23:430Awkwardly jumps into sleeping bag
	2015-04-21 00:22:440@info: Asteroid Seukuran Bus Terdekat Lintasi Bumi[Vivanews]  -
	2015-04-21 00:22:440@info: Asteroid Seukuran Bus Terdekat Lintasi Bumi[Vivanews]  -
	2015-04-21 00:22:410Asteroid Seukuran Bus Terdekat Lintasi Bumi[Vivanews]: Asteroid 2015 HD1 pertama kali ditemukan 18 April 2015. http://t.co/ucr1pySgij
	2015-04-21 00:22:390Asteroid Seukuran Bus Terdekat Lintasi Bumi[Vivanews]: Asteroid 2015 HD1 pertama kali ditemukan 18 April 2015. http://t.co/naZT6Xtk2Q
	2015-04-21 00:22:341RT @nyrath: Up in ARMs for No Good Reason (asteroid redirect mission) http://t.co/2shSy3Q8Lx
	2015-04-21 00:22:231RT @fimecyzizefi: 15 Apr 2015 - Asteroid Named for Nobel Prize Winner Joins Historic Lineup
	2015-04-21 00:21:1542RT @earthskyscience: Asteroid will miss Earth Tuesday morning ... but not by much.
http://t.co/1QzlfPOFVM http://t.co/zJBSqG1Qhs
	2015-04-21 00:21:040Asteroid will miss Earth Tuesday morning http://t.co/AjOJO1lFcu
	2015-04-21 00:20:1984RT @b420b420b420: #HappyLuhanDay My little prince from Asteroid-B420. http://t.co/viGGr9sD3O
	2015-04-21 00:19:210NEW MUSIC: Asteroid - Vote Not Violence feat. Various Artists &gt;&gt; http://t.co/Av0flVEMyd http://t.co/wBWVcZi1Ae
	2015-04-21 00:18:410VIDEO PREMIERE: Asteroid - Vote Not Violence ft. Emy P, Feelingz, UNIK,....-&gt;&gt; http://t.co/RCXhxH8Jid http://t.co/YU857xoL9Z
	2015-04-21 00:39:210Have you ever heard of the Ludlow Massacre? Here's your chance. #1u @MineWorkers (via @Upworthy) http://t.co/KMPuL8QSg5
	2015-04-21 00:39:160I liked a @YouTube video from @bodybag513 http://t.co/nNQpy8GZh0 NBA 2k15 Online Massacre | Subscriber Match for $50 | BOW DOWN TO
	2015-04-21 00:39:090Have you ever heard of the Ludlow Massacre? You might be shocked when you see what happened. http://t.co/setiw0PJcQ
	2015-04-21 00:38:520Ludlow Massacre - Wikipedia, the free encyclopedia http://t.co/Q2CnNqV2IR
	2015-04-21 00:38:496RT @jadennnnnn: Today is national pot smoking day, Hitler's birthday, Columbine Massacre 16th anniversary, and national dolphin day.
	2015-04-21 00:38:420PM Hailemariam Desalegn condemns massacre of Ethiopians by Islamic State in Libya http://t.co/Om5dzy8Hfx
	2015-04-21 00:38:400Italy counts up to 900 migrants dead and launches rescues of two more boats http://t.co/llmNTdIHm7
	2015-04-21 00:38:040Pokemon is awesome http://t.co/CVtJMgvKVq
	2015-04-21 00:37:530Texas Coleslaw Massacre  #CookingFilms
	2015-04-21 00:36:340Today is the 16th anniversary of the Columbine Massacre and it still makes me cry every time I hear the full story. This will never be okay.
	2015-04-21 00:36:300Any April 19-20 we get through with no major terrorist massacre is a good one.
	2015-04-21 00:36:060Have you ever heard of the Ludlow Massacre? Here's your chance. #1u @MineWorkers (via @Upworthy) http://t.co/zFiJ4yHyAv
