tornado
	2015-04-20 23:59:24RT @fox5newsdc: Severe Thunderstorm Warning issued until 8:30 pm for DC and several counties in MD, VA. MORE: http://t.co/t19OSFhwGw #fox5dc
	2015-04-20 23:59:20@TreLeach4 Jon swears were gonna get a tornado
	2015-04-20 23:59:20Tornado watch in DC. https://t.co/G22Gu6b5Os
	2015-04-20 23:59:20who wants to go track down the tornado with me
	2015-04-20 23:59:20A tornado warning during Raw.....if my power goes out, I swear
	2015-04-20 23:59:17IT LOOKS LIKE A TORNADO IS ANBOUT TO HAPPEN IN MY CITY PMG@
	2015-04-20 23:59:17Tornado Watch in effect for Baltimore city in MD until 10 PM #mdwx http://t.co/FoxQQPHKWF
	2015-04-20 23:59:05Totally hid my car in the shop from the tornado warning. http://t.co/yOrKNn9y69
	2015-04-20 23:59:02Tornado watch during the NBA playoffs. What is this life. Stay strong precious cable wires. Stay strong.
	2015-04-20 23:58:56Glad there's no tornado or I would have been screwed....can't crutch from a tornado
	2015-04-20 23:58:56"We're under a tornado warning...you can't joke about that" -my mom
	2015-04-20 23:58:55RT @Ants_SNEweather: Not sure why this cell over PA does not have Tornado Warning http://t.co/CrTwo05tys
	2015-04-20 23:58:54Tornado Watch In Effect 4 Area #Delaware #NBC1 #Pennsylvania #Weather http://t.co/2NIkeTi2Cb
	2015-04-20 23:58:53tf with this tornado watch sry what
	2015-04-20 23:58:53So apparently there is a tornado back home
	2015-04-20 23:58:52Had to duck and cover in the hallway during a tornado warning that went off 4 minutes before dismissal. Practice makes perfect. For an hour.
	2015-04-20 23:58:51RT @abc27News: As the sun sets the chance of a tornado is less likely. #27News #27Weather
	2015-04-20 23:58:39RT @KateLuft_: DILLSBURG TORNADO 2k15 PART 2 http://t.co/TdKdXtjc4E
	2015-04-20 23:58:39RT @KerryKruzel: *god does tornado 420 smoke trick*
	2015-04-20 23:58:38Ben is taking a female companion to the roof in order to throw the bomb into the Tornado, Lady questions his problem with being famous.
	2015-04-20 23:58:37For New Jersey the National Weather service has issued a Tornado Watch TORNADO WATCH 90 REMAINS VALID UNTIL 10 PM EDT THIS EV... 7:58:36 PM
	2015-04-20 23:58:36@thecityash there isn't gonna be a tornado lmao
	2015-04-20 23:58:36RT @GJD_2: I have decided to pick up the guitar again. Thanks to Guns and Roses and a tornado drill. @nathangoggans8 @alahoti3
	2015-04-20 23:58:31RT @BobCaton: If you're calling a TV station now to whine about tornado coverage preempting your dancing show please eat an elephant's butt
	2015-04-20 23:58:21@lm_Ignite hail means tornado. and it just rained really hard for like a minute and now its gone
	2015-04-20 23:58:21RT @gabinot_gabby: If the tornado could plow right thru cv that would be fantastic
	2015-04-20 23:58:21Maybe if I close my eyes, it will look like there's actually a tornado outside
	2015-04-20 23:58:20The National Weather Service has issued a tornado watch for the area until 10 p.m.
	2015-04-20 23:58:16A Tornado Watch is currently in effect for much of the area. Use the link below to learn how to prepare for and... http://t.co/Bax3TNVEcK
	2015-04-20 23:58:15Been a while since I saw a sky that made me go "Oh those are tornado clouds". Nice sun shelf in Arlington right now
	2015-04-20 23:58:11Holy cow, we're in a tornado watch!?
	2015-04-20 23:58:11RT @4cast4you: View of the tornado warned storm from the @abc27 @WeatherBug in Mechanisburg, PA || http://t.co/dGjK7md8S0
	2015-04-20 23:58:11RT @sarah_brock22: too many people blazed on 420 this tornado is God warning us
	2015-04-20 23:58:10Tornado warning issued for parts of midstate http://t.co/HK5C26V6tu #weather
	2015-04-20 23:58:03Cool we're in a tornado warning
	2015-04-20 23:58:00RT @LaurieThrasher: The #Tornado aftermath http://t.co/v64f24ZXvR
	2015-04-20 23:57:58Looks like a tornado is about to drop smack on DC
	2015-04-20 23:57:58@Eric_Kumah11 tornado.
	2015-04-20 23:57:58RT @fox5newsdc: Severe Thunderstorm Warning issued until 8:30 pm for DC and several counties in MD, VA. MORE: http://t.co/t19OSFhwGw #fox5dc
	2015-04-20 23:57:57RT @NBCPhiladelphia: FIRST ALERT: Tornado Watch remains in effect for area, TIMELINE of storms HERE: http://t.co/dMEL5JlZ66
	2015-04-20 23:57:57I JUST LOVE STANDING IN THE PARKING LOT DURING A TORNADO WARNING IM AN IDOIOT
